id	ten	gia	review_count	phanloai	thuonghieu	sku	mota	url_image
31587752	Bộ Hộp Cơm Giữ Nhiệt Easy Take Lunch Box Lock&Lock LHC8034 (2000ml)	739000	299	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ chứa đựng thực phẩm/Hộp đựng thực phẩm	Lock&Lock	5589175311050		https://salt.tikicdn.com/cache/280x280/ts/product/35/54/41/464cb317ca1030b03319618286fa742f.jpg
89718996	Dụng Cụ Hái Trái Cây Trên Cao Kèm Túi Vải KUNBE Chuẩn Size 16 Cm, Vợt Hái Quả Bằng Kim Loại Siêu Chắc - Hàng Loại 1	195000	34	Nhà Cửa - Đời Sống/Ngoài trời & sân vườn/Dụng cụ làm vườn/Dụng cụ làm vườn khác	KUNBE	5956984801140		https://salt.tikicdn.com/cache/280x280/ts/product/a6/6e/66/8d739979979481cc4710c2455694e084.jpg
58142441	kệ sách đa năng 5 tầng bằng gỗ tiết kiệm không gian kích thước 1m2 x 50 cm	318000	0	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Tủ, kệ sách	OEM	9131815789888		https://salt.tikicdn.com/cache/280x280/ts/product/c4/1d/00/c05e843747a51f80917af8165ddbdf72.jpg
23801605	 THANG NHÔM CHỮ A NHẬT BẢN HAKAWA HK 250 - PHÂN PHỐI CHÍNH HÃNG	3430000	48	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Thang nhôm	HAKAWA	9323284535312		https://salt.tikicdn.com/cache/280x280/ts/product/73/ac/ae/cc4a43bfe1e0c0c415f131a331078be8.png
20297179	Bộ 20 Dụng Cụ Kẹp Dây Điện	19500	7	Nhà Cửa - Đời Sống/Trang trí nhà cửa/Trang trí nhà cửa/Trang trí nhà cửa khác	OEM	1987169821020		https://salt.tikicdn.com/cache/280x280/ts/product/91/fc/60/02b8fb95f5b6a3c8a1f4f7d0975a60c7.jpg
53467695	Bàn học gấp gọn Thông minh, có khe cắm	91000	13	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Bàn học sinh	OEM	5355174127172		https://salt.tikicdn.com/cache/280x280/ts/product/a4/62/e2/5b1ab9c645e12839a7334f317826da4c.jpg
77448059	Cốc Giữ Nhiệt Lock&Lock LHC4247 (473ml)	253000	5	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Ly, cốc & phụ kiện ly	Lock&Lock	6952946240515		https://salt.tikicdn.com/cache/280x280/ts/product/da/47/30/71c76402a57ee4140e64a6b5e3aa509a.jpg
23801605	 THANG NHÔM CHỮ A NHẬT BẢN HAKAWA HK 250 - PHÂN PHỐI CHÍNH HÃNG	3430000	48	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Thang nhôm	HAKAWA	9323284535312		https://salt.tikicdn.com/cache/280x280/ts/product/73/ac/ae/cc4a43bfe1e0c0c415f131a331078be8.png
70360099	Bàn Trang Điểm Cho Các Cô Nàng Yêu Phong Cách Bắc Âu Thương Hiệu IGEA (Không Bao Gồm Ghế)	550000	144	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng ngủ/Bàn trang điểm	IGA	6153717300810		https://salt.tikicdn.com/cache/280x280/ts/product/5d/3c/ce/4bc8e81c81ddec8c0c7b85a9c09a0bd2.png
54639027	Bể bơi phao trong nhà hình chữ nhật đủ kích thước 150cm-135cm-180cm-210cm, bể bơi cho bé, bể bơi chất lượng tốt	199000	5	Nhà Cửa - Đời Sống/Ngoài trời & sân vườn/Bể bơi ngoài trời/Bể bơi	OEM	8756660934064		https://salt.tikicdn.com/cache/280x280/ts/product/4b/8f/e3/3d39f0dbfa8aafb7b8c596f555797321.jpg
